COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
75,0130,4/6/2020,W,222,145,148,238,432,1027,2129,2154,1848,1580,1623,1688,1763,1939,2061,2510,2587,2622,1870,1270,1003,742,618,349,32568,18,2622,,
79,0133,4/6/2020,N,50,59,63,87,131,329,644,930,891,793,744,815,832,850,810,818,917,877,663,477,341,276,207,167,12771,08,930,,
79,0133,4/6/2020,S,110,80,91,96,165,394,526,639,584,605,646,672,711,747,756,890,971,949,634,475,353,228,201,163,11686,17,971,,
70,0134,4/6/2020,N,73,64,61,86,150,406,774,717,684,662,657,677,714,717,786,767,763,779,610,404,371,256,228,163,11569,15,786,,
70,0134,4/6/2020,S,100,103,84,133,196,370,566,727,627,557,543,553,621,601,622,699,858,734,569,417,312,224,174,144,10534,17,858,,
87,0137,4/6/2020,E,182,145,140,262,523,1733,3181,3266,3108,2815,2694,2773,2902,3046,3152,3573,3492,3309,2446,1877,1345,1105,824,603,48496,16,3573,,
87,0137,4/6/2020,W,244,185,244,376,681,1812,2579,2952,2774,2536,2456,2764,2965,3070,3460,3657,3691,3566,2456,1863,1434,1134,765,495,48159,17,3691,,
88,0139,4/6/2020,E,15,8,14,24,39,95,138,154,115,107,107,108,125,131,138,132,124,113,89,63,58,42,34,31,2004,08,154,,
88,0139,4/6/2020,W,12,10,10,11,39,70,121,95,114,125,131,134,133,152,129,108,123,123,99,47,50,29,32,22,1919,14,152,,
93,0140,4/6/2020,E,7,8,10,14,30,184,289,242,170,126,128,161,151,169,159,154,143,137,89,62,35,28,32,18,2546,07,289,,
93,0140,4/6/2020,W,10,3,15,32,59,99,198,136,141,115,158,139,140,131,147,200,229,202,98,63,33,26,25,18,2417,17,229,,
03,0143,4/6/2020,N,34,11,11,22,136,361,510,316,289,266,279,316,366,341,398,476,557,602,366,236,221,113,78,45,6350,18,602,,
03,0143,4/6/2020,S,23,9,10,33,97,223,567,518,379,309,340,311,396,365,397,463,468,475,395,226,200,131,68,35,6438,07,567,,
94,0144,4/6/2020,E,1,0,2,2,5,38,88,71,63,74,64,85,86,79,80,74,106,115,64,29,35,15,28,8,1212,18,115,,
94,0144,4/6/2020,W,2,2,1,2,7,38,146,127,90,82,93,81,79,75,61,90,80,66,41,27,19,9,4,6,1228,07,146,,
04,0145,4/6/2020,N,31,21,9,23,44,106,183,177,196,194,227,255,263,213,208,264,292,274,143,107,92,54,41,27,3444,17,292,,
04,0145,4/6/2020,S,13,30,34,34,63,161,246,256,211,195,212,219,207,224,227,188,205,206,142,96,77,44,44,23,3357,08,256,,
33,0149,4/6/2020,N,5,5,11,13,33,41,81,121,89,92,91,117,109,112,110,103,87,134,79,63,39,21,10,3,1569,18,134,,
33,0149,4/6/2020,S,5,7,7,13,15,37,68,105,71,103,89,112,114,105,99,116,117,106,95,84,50,22,13,6,1559,17,117,,
55,0151,4/6/2020,E,30,30,16,29,22,48,162,415,358,374,380,515,533,517,545,506,643,683,447,374,268,177,102,58,7232,18,683,,
55,0151,4/6/2020,W,34,17,16,14,28,71,222,452,381,308,325,374,481,440,423,422,498,481,350,264,261,162,113,85,6222,17,498,,
61,0152,4/6/2020,E,73,58,52,79,86,155,208,285,298,296,345,348,297,339,333,323,307,272,225,185,132,126,118,70,5010,12,348,,
61,0152,4/6/2020,W,2,3,6,4,9,24,53,51,64,44,41,54,69,67,84,89,78,67,46,29,23,21,13,9,950,16,89,,
75,0154,4/6/2020,N,107,55,40,61,145,304,532,735,680,613,623,725,833,844,920,1001,1074,1020,779,591,513,405,368,194,13162,17,1074,,
75,0154,4/6/2020,S,48,49,68,164,293,545,949,988,784,655,692,789,938,936,894,968,1055,1077,826,658,518,344,257,109,14604,18,1077,,
48,0156,4/6/2020,E,106,88,67,111,191,485,889,1099,825,720,663,689,683,662,752,776,832,744,529,361,263,231,153,140,12059,08,1099,,
48,0156,4/6/2020,W,83,60,57,78,178,408,708,690,629,624,686,700,681,683,762,888,1051,1061,597,416,272,190,177,136,11815,18,1061,,
72,0161,4/6/2020,E,69,49,26,51,66,208,491,771,788,732,734,828,900,928,981,1196,1214,1164,758,540,441,294,226,134,13589,17,1214,,
72,0161,4/6/2020,W,61,36,43,51,112,298,831,932,851,680,672,760,841,842,822,1013,893,937,703,453,341,225,198,125,12720,16,1013,,
10,0162,4/6/2020,E,37,48,22,31,58,149,305,521,552,499,546,614,652,662,746,881,855,782,464,339,292,173,120,95,9443,16,881,,
10,0162,4/6/2020,W,42,37,57,71,156,365,750,787,709,633,614,642,682,665,674,644,729,651,438,346,251,178,139,79,10339,08,787,,
90,0164,4/6/2020,N,17,8,10,24,69,135,202,309,378,391,394,339,425,374,442,485,581,511,332,179,120,87,61,29,5902,17,581,,
90,0164,4/6/2020,S,22,21,36,56,92,248,472,517,565,434,341,352,320,329,302,323,337,298,197,143,114,69,62,24,5674,09,565,,
90,0165,4/6/2020,N,43,31,16,25,36,99,282,505,534,616,740,834,935,887,941,980,1093,986,661,483,384,282,130,103,11626,17,1093,,
90,0165,4/6/2020,S,42,23,17,19,51,118,360,900,901,852,788,800,826,882,791,826,790,656,548,476,328,196,122,92,11404,09,901,,
46,0166,4/6/2020,E,7,5,1,2,5,25,94,111,140,149,165,187,238,187,206,182,201,157,131,108,50,23,24,9,2407,13,238,,
46,0166,4/6/2020,W,7,8,1,6,7,23,95,150,134,168,178,221,277,237,243,223,238,201,184,132,73,28,25,19,2878,13,277,,
